Sample_ID,Data_Type,Condition,Damage_Type,Vent_Holes,Fiber_Volume_Fraction,Void_Content,Fiber_Orientation_Degree,LBP_Feature_1,LBP_Feature_2,Texture_Contrast,Average_Temperature,Temperature_Variance,Defect_Density,Crack_Length_mm,Fracture_Toughness,Tensile_Strength,Structural_Integrity_Class
1,Thermograph,Mixed,None,4,0.566,0.058,3.28,0.984,0.389,0.313,26.6,1.79,0.128,2.31,31.3,372.62,Medium
2,C-scan (BVID with Holes),Damaged,BVID,5,0.601,0.05,18.99,0.42,0.538,0.627,74.07,6.47,0.154,2.983,49.43,413.52,Medium
3,C-scan (Pristine with Holes),Pristine,None,3,0.693,0.069,63.8,0.926,0.484,0.358,58.57,12.74,0.035,0.739,34.65,497.68,Medium
4,C-scan (BVID with Holes),Damaged,BVID,6,0.501,0.047,52.88,0.993,0.928,0.265,32.47,1.51,0.13,2.673,31.3,505.09,Medium
5,C-scan (Pristine with Holes),Pristine,None,2,0.502,0.01,51.37,0.378,0.352,0.699,29.69,6.09,0.018,0.413,59.72,515.48,High
6,Thermograph,Mixed,None,6,0.454,0.064,39.46,0.887,0.497,0.509,115.49,0.51,0.033,0.824,39.62,624.25,Medium
7,C-scan (BVID with Holes),Damaged,BVID,2,0.513,0.026,86.12,0.106,0.929,0.878,88.32,2.54,0.109,2.979,37.17,476.49,Medium
8,Thermograph,Mixed,None,4,0.498,0.07,16.76,0.575,0.555,0.471,109.64,13.31,0.102,1.287,33.81,527.65,Medium
9,C-scan (Pristine with Holes),Pristine,None,6,0.532,0.072,1.32,0.394,0.367,0.887,88.07,5.24,0.031,0.234,23.46,540.22,Low
10,C-scan (BVID with Holes),Damaged,BVID,6,0.546,0.032,32.02,0.45,0.106,0.278,114.52,11.08,0.188,3.322,35.87,470.54,Medium
11,Thermograph,Mixed,None,6,0.55,0.073,41.67,0.575,0.826,0.579,111.82,7.67,0.063,0.798,37.01,354.61,Medium
12,Thermograph,Mixed,None,4,0.514,0.078,8.68,0.489,0.784,0.766,102.52,7.33,0.117,2.425,33.05,852.26,Medium
13,Thermograph,Mixed,None,4,0.491,0.072,42.19,0.878,0.456,0.484,57.92,11.78,0.104,1.736,37.33,801.11,Medium
14,Thermograph,Mixed,None,6,0.635,0.068,63.13,0.111,0.739,0.89,58.33,6.73,0.113,2.001,55.85,381.79,Medium
15,C-scan (Pristine with Holes),Pristine,None,2,0.613,0.078,12.2,0.307,0.519,0.259,40.94,12.62,0.014,0.826,24.94,609.57,Low
16,Thermograph,Mixed,Thermal Anomaly,3,0.616,0.047,33.05,0.599,0.531,0.583,98.12,10.0,0.134,2.821,44.6,367.25,Medium
17,C-scan (BVID with Holes),Damaged,BVID,5,0.459,0.075,87.29,0.104,0.816,0.461,60.69,8.6,0.123,3.371,38.84,793.97,Medium
18,C-scan (BVID with Holes),Damaged,BVID,3,0.568,0.075,29.56,0.178,0.148,0.31,76.79,9.18,0.117,3.056,41.6,692.19,Medium
19,C-scan (BVID with Holes),Damaged,BVID,5,0.568,0.05,2.21,0.977,0.908,0.455,25.31,14.88,0.08,3.937,51.64,603.46,Medium
20,C-scan (Pristine with Holes),Pristine,None,3,0.477,0.065,8.37,0.582,0.945,0.454,25.42,2.06,0.017,0.965,58.68,664.29,High
21,C-scan (Pristine with Holes),Pristine,None,6,0.56,0.023,30.38,0.129,0.723,0.68,48.45,13.65,0.037,0.205,35.57,435.13,Medium
22,Thermograph,Mixed,Thermal Anomaly,3,0.555,0.035,89.62,0.916,0.506,0.699,41.55,10.15,0.048,2.211,28.23,750.86,Low
23,C-scan (BVID with Holes),Damaged,BVID,4,0.616,0.069,53.8,0.525,0.144,0.253,55.63,7.63,0.156,4.371,37.42,625.23,Medium
24,C-scan (BVID with Holes),Damaged,BVID,4,0.639,0.064,49.15,0.232,0.387,0.866,41.34,3.74,0.123,2.827,37.31,619.12,Medium
25,Thermograph,Mixed,None,5,0.473,0.019,56.47,0.661,0.601,0.731,63.93,3.92,0.12,2.367,51.44,463.77,Medium
26,Thermograph,Mixed,None,2,0.598,0.03,8.46,0.888,0.247,0.858,31.4,5.68,0.087,1.469,36.69,689.78,Medium
27,Thermograph,Mixed,Thermal Anomaly,3,0.572,0.057,0.86,0.335,0.925,0.522,103.14,9.01,0.084,1.299,26.9,716.12,Low
28,C-scan (Pristine with Holes),Pristine,None,3,0.54,0.061,25.72,0.664,0.795,0.886,66.12,6.13,0.031,0.254,32.1,733.82,Medium
29,C-scan (Pristine with Holes),Pristine,None,4,0.475,0.042,35.19,0.133,0.402,0.74,96.96,14.56,0.038,0.923,48.51,440.59,High
30,Thermograph,Mixed,Thermal Anomaly,2,0.642,0.069,66.67,0.722,0.824,0.885,66.82,3.25,0.149,2.667,33.83,513.36,Medium
31,C-scan (Pristine with Holes),Pristine,None,2,0.478,0.052,23.14,0.561,0.255,0.265,78.19,4.44,0.023,0.407,52.24,747.16,High
32,C-scan (Pristine with Holes),Pristine,None,4,0.592,0.069,65.57,0.637,0.222,0.514,93.7,4.28,0.024,0.79,29.85,500.78,Low
33,C-scan (BVID with Holes),Damaged,BVID,5,0.484,0.056,89.19,0.799,0.336,0.563,36.74,12.88,0.126,4.759,59.79,470.94,Medium
34,Thermograph,Mixed,Thermal Anomaly,5,0.587,0.066,5.84,0.748,0.136,0.354,107.32,10.96,0.104,2.463,33.35,449.9,Medium
35,C-scan (Pristine with Holes),Pristine,None,3,0.543,0.037,28.96,0.85,0.565,0.464,73.09,7.95,0.03,0.942,54.73,583.08,High
36,C-scan (BVID with Holes),Damaged,BVID,4,0.527,0.02,36.04,0.92,0.83,0.661,30.53,8.04,0.158,4.824,21.68,484.45,Low
37,C-scan (BVID with Holes),Damaged,BVID,5,0.679,0.024,52.21,0.708,0.985,0.586,28.69,0.91,0.161,4.422,44.41,617.15,Medium
38,C-scan (Pristine with Holes),Pristine,None,4,0.676,0.033,19.06,0.669,0.201,0.498,114.85,4.03,0.047,0.715,26.33,395.32,Low
39,C-scan (Pristine with Holes),Pristine,None,6,0.634,0.073,45.74,0.525,0.318,0.234,89.91,1.5,0.044,0.971,50.71,497.52,High
40,C-scan (BVID with Holes),Damaged,BVID,4,0.565,0.067,76.71,0.418,0.782,0.829,61.73,12.45,0.087,1.694,57.66,560.43,Medium
41,Thermograph,Mixed,None,5,0.518,0.043,12.29,0.193,0.86,0.526,26.24,2.46,0.15,3.314,57.29,645.77,Medium
42,Thermograph,Mixed,None,5,0.677,0.011,63.91,0.473,0.932,0.725,42.65,11.71,0.055,2.57,52.83,627.74,High
43,C-scan (BVID with Holes),Damaged,BVID,3,0.518,0.032,89.25,0.943,0.267,0.433,78.28,7.13,0.166,1.444,44.04,614.93,Medium
44,Thermograph,Mixed,None,4,0.544,0.068,6.21,0.325,0.518,0.428,87.43,6.36,0.053,1.918,32.02,374.58,Medium
45,C-scan (BVID with Holes),Damaged,BVID,6,0.592,0.016,40.61,0.319,0.484,0.62,68.55,1.39,0.182,3.341,56.17,445.58,Medium
46,Thermograph,Mixed,Thermal Anomaly,3,0.637,0.06,80.43,0.974,0.608,0.216,78.55,9.73,0.056,2.225,28.11,735.62,Low
47,Thermograph,Mixed,Thermal Anomaly,4,0.481,0.053,37.14,0.63,0.794,0.828,96.13,5.13,0.081,2.596,34.18,573.08,Medium
